@relation LongParameterList

@attribute NOP_method numeric
@attribute CC_method numeric
@attribute ATFD_method numeric
@attribute FDP_method numeric
@attribute CM_method numeric
@attribute MAXNESTING_method numeric
@attribute LOC_method numeric
@attribute CYCLO_method numeric
@attribute NMCS_method numeric
@attribute NOLV_method numeric
@attribute MaMCL_method numeric
@attribute NOAV_method numeric
@attribute LAA_method numeric
@attribute FANOUT_method numeric
@attribute CFNAMM_method numeric
@attribute ATLD_method numeric
@attribute CINT_method numeric
@attribute MeMCL_method numeric
@attribute CDISP_method numeric
@attribute NOII_type numeric
@attribute NOAM_type numeric
@attribute NOCS_type numeric
@attribute NOM_type numeric
@attribute NMO_type numeric
@attribute ATFD_type numeric
@attribute FANOUT_type numeric
@attribute NOMNAMM_type numeric
@attribute NOA_type numeric
@attribute NIM_type numeric
@attribute DIT_type numeric
@attribute LOC_type numeric
@attribute LOCNAMM_type numeric
@attribute CFNAMM_type numeric
@attribute TCC_type numeric
@attribute NOPA_type numeric
@attribute CBO_type numeric
@attribute RFC_type numeric
@attribute NOC_type numeric
@attribute WMC_type numeric
@attribute LCOM5_type numeric
@attribute WOC_type numeric
@attribute WMCNAMM_type numeric
@attribute AMW_type numeric
@attribute AMWNAMM_type numeric
@attribute NOCS_package numeric
@attribute NOMNAMM_package numeric
@attribute NOI_package numeric
@attribute LOC_package numeric
@attribute NOM_package numeric
@attribute NOPK_project numeric
@attribute NOCS_project numeric
@attribute NOI_project numeric
@attribute NOM_project numeric
@attribute NOMNAMM_project numeric
@attribute LOC_project numeric
@attribute is_long_parameters_list {FALSE,TRUE}

@data
0,0,0,0,0,2,8,2,0,0,0,6,1,0,2,3,0,0,0,0,7,2,16,-1,2,3,9,12,-1,4,221,172,406,0.177778,1,9,34,1,29,0.961111,-1,18,1.8125,2,6,9,0,229,16,43,849,78,5788,4778,65687,FALSE
0,0,0,0,0,1,3,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,3,1,0,0,3,1,0,1,16,16,0,1,0,0,3,0,3,0.5,1,3,1,1,38,198,0,4223,240,43,849,78,5788,4778,65687,FALSE
1,0,0,0,0,1,2,1,0,1,0,1,0,1,3,0,1,0,1,1,29,18,123,17,50,138,94,108,77,2,1957,1669,51801,0.012613,87,145,571,0,273,0.992107,0.404145,234,2.219512,2.489362,38,198,0,4223,240,43,849,78,5788,4778,65687,FALSE
0,5,0,0,9,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,21,0,92,-1,0,0,71,5,-1,-1,288,206,0,0,5,15,92,0,92,1.010989,0,71,1,1,34,523,11,6037,728,43,849,78,5788,4778,65687,FALSE
1,0,1,1,0,1,3,1,0,1,0,2,0,1,0,0,1,0,1,1,0,0,3,0,1,1,3,0,0,1,12,12,0,0,0,1,4,0,3,0,1,3,1,1,34,523,11,6037,728,43,849,78,5788,4778,65687,FALSE
1,4,0,0,4,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,18,-1,0,0,18,0,-1,-1,40,40,0,0,0,2,18,0,18,0,0,18,1,1,34,523,11,6037,728,43,849,78,5788,4778,65687,FALSE
0,0,0,0,0,1,3,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8,0,10,12,8,2,15,2,132,132,386,0.47619,0,14,45,0,21,0.785714,1,21,2.625,2.625,74,380,4,5031,435,43,849,78,5788,4778,65687,FALSE
1,0,0,0,0,1,3,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,2,4,1,0,1,31,31,16,0,0,2,6,0,4,1,1,4,1,1,74,380,4,5031,435,43,849,78,5788,4778,65687,FALSE
2,2,0,0,2,2,13,2,0,4,0,7,1,1,4,3,2,0,0.5,0,0,0,3,0,1,1,3,3,0,1,33,33,20,1,3,2,5,0,5,1.166667,0.5,5,1.666667,1.666667,74,380,4,5031,435,43,849,78,5788,4778,65687,FALSE
2,2,0,0,2,0,1,1,0,2,0,0,0,0,0,0,0,0,0,1,3,0,5,-1,0,0,2,0,-1,-1,7,-2,0,0,0,0,5,0,5,0,0,2,1,1,18,108,8,1339,136,43,849,78,5788,4778,65687,FALSE
0,0,0,0,0,1,3,1,0,0,0,1,1,1,2,1,1,0,1,0,2,0,17,0,2,4,15,6,0,1,235,220,346,0.090909,0,4,32,0,59,0.916667,0.777778,56,3.470588,3.733333,59,322,2,6298,410,43,849,78,5788,4778,65687,FALSE
0,0,1,1,0,1,2,1,0,0,0,1,0,1,0,0,1,0,1,0,2,0,17,0,2,4,15,6,0,1,235,220,346,0.090909,0,4,32,0,59,0.916667,0.777778,56,3.470588,3.733333,59,322,2,6298,410,43,849,78,5788,4778,65687,FALSE
1,0,0,0,0,1,3,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,8,1,2,3,8,0,65,3,128,128,117,0,0,14,65,0,18,0,1,18,2.25,2.25,8,28,0,396,32,43,849,78,5788,4778,65687,FALSE
0,2,0,0,2,1,3,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,5,0,0,0,4,0,0,1,23,18,0,0,0,1,5,0,5,0,0.8,4,1,1,30,76,2,1343,128,43,849,78,5788,4778,65687,FALSE
